circuit,seed,sample_index,adp_reduction_pct,vtr_success,aspect_ratio,area_mwta,delay_ns,power_w,adp,vtr_seconds,cached,grid_w,grid_h,dsp_coords,bram_coords
arm_core,42,8,-48.45875903478522,True,0.9,12170900.0,19.2714,0.07259,17026004.989253398,364.84,False,37,41,[],"[[6, 7], [12, 16], [28, 26], [28, 11], [2, 9], [19, 29], [3, 14], [34, 2], [17, 16], [24, 16], [30, 30], [10, 27], [19, 9], [35, 4], [13, 2], [10, 18], [13, 9], [5, 17], [10, 2], [27, 20], [21, 4], [1, 3], [13, 25], [12, 4]]"
lightweight_cipher,123,2,31.041619503069317,True,0.8,336333.0,3.45626,0.0211,24527.785615638,5.21,False,10,13,[],"[[2, 3], [3, 4], [5, 2]]"
mkDelayWorker32B,123,6,-12.111105775011433,True,0.9,7064530.0,8.45411,0.1591,9502138.31258153,59.0,False,50,56,[],"[[17, 8], [15, 1], [20, 40], [15, 33], [31, 18], [35, 17], [48, 22], [14, 39], [21, 1], [29, 1], [47, 8], [9, 15], [38, 27], [34, 43], [21, 38], [28, 9], [8, 38], [40, 14], [21, 10], [45, 26], [31, 31], [32, 20], [13, 3], [2, 9], [46, 14], [36, 3], [16, 18], [6, 29], [17, 29], [46, 22], [34, 2], [32, 29], [11, 6], [28, 35], [8, 4], [13, 11], [15, 11], [42, 13], [41, 34], [14, 14], [15, 39], [23, 16], [18, 13]]"
lightweight_cipher,123,4,30.29251976412109,True,0.8,336317.0,3.52572,0.02091,24794.232676448402,4.03,False,10,13,[],"[[6, 3], [5, 4], [2, 4]]"
lightweight_cipher,123,8,30.29251976412109,True,0.8,336317.0,3.52572,0.02091,24794.232676448402,0.0,True,10,13,[],"[[6, 3], [5, 4], [2, 4]]"
lightweight_cipher,123,5,30.767083958767216,True,0.8,335834.0,3.56645,0.02056,24625.435080807998,4.91,False,10,13,[],"[[8, 2], [6, 3], [2, 3]]"
softmax,42,2,-57.437938248738426,True,0.9,10057100.0,6.36009,0.08808,5633954.50512312,336.95,False,42,47,"[[6, 2], [40, 7], [14, 3], [28, 15], [11, 4], [2, 12], [36, 22], [13, 9]]",[]
lightweight_cipher,123,7,30.133348587163756,True,0.8,336339.0,3.79683,0.01946,24850.8482245002,6.02,False,10,13,[],"[[2, 4], [7, 3], [3, 4]]"
lightweight_cipher,123,6,30.377302546102154,True,0.8,336315.0,3.55546,0.02071,24764.076314228998,6.96,False,10,13,[],"[[2, 4], [4, 3], [3, 4]]"
lightweight_cipher,123,9,30.5675132051449,True,0.8,336256.0,3.46931,0.02117,24696.4203421312,7.33,False,10,13,[],"[[7, 1], [3, 4], [2, 4]]"
mkDelayWorker32B,123,7,-37.305600335296745,True,0.9,8379280.0,8.64248,0.1607,11637534.002174081,72.4,False,50,56,[],"[[39, 30], [7, 26], [7, 16], [37, 6], [27, 8], [24, 35], [40, 34], [14, 9], [14, 36], [39, 24], [40, 10], [47, 10], [45, 1], [17, 10], [9, 42], [10, 14], [35, 20], [40, 42], [47, 19], [4, 4], [26, 35], [16, 3], [34, 28], [3, 17], [8, 8], [11, 19], [33, 12], [9, 17], [48, 35], [19, 20], [42, 1], [46, 36], [5, 41], [18, 6], [19, 40], [46, 8], [12, 17], [39, 18], [35, 6], [20, 33], [43, 24], [12, 2], [10, 43]]"
mkDelayWorker32B,123,8,-17.969441904764707,True,0.9,7543100.0,8.35248,0.1587,9998670.0326256,52.48,False,49,54,[],"[[20, 38], [32, 16], [11, 12], [10, 25], [31, 24], [9, 9], [12, 18], [23, 25], [6, 35], [24, 42], [41, 10], [8, 14], [36, 34], [39, 34], [15, 31], [37, 19], [25, 43], [9, 15], [1, 9], [21, 5], [7, 25], [15, 2], [30, 11], [11, 18], [18, 7], [10, 14], [12, 10], [8, 4], [46, 6], [44, 27], [3, 29], [16, 3], [13, 10], [31, 5], [47, 24], [28, 24], [7, 6], [27, 2], [14, 35], [27, 29], [25, 13], [32, 28], [18, 17]]"
mkDelayWorker32B,123,9,-13.603808292836753,True,0.9,7064260.0,9.02058,0.1511,9628654.465337882,46.95,False,50,56,[],"[[45, 25], [1, 40], [2, 15], [29, 19], [3, 10], [48, 18], [10, 37], [20, 39], [12, 19], [32, 23], [27, 26], [12, 28], [32, 30], [10, 31], [45, 18], [34, 1], [30, 24], [29, 2], [19, 12], [36, 32], [7, 32], [2, 22], [9, 19], [16, 31], [5, 16], [16, 6], [35, 13], [17, 34], [42, 29], [42, 10], [44, 29], [19, 40], [28, 3], [40, 3], [46, 3], [14, 15], [18, 2], [5, 37], [1, 20], [9, 35], [35, 7], [17, 26], [11, 7]]"
softmax,42,6,2.9015810402418563,True,0.8,7544330.0,6.5089,0.07076,3474690.2876381204,288.61,False,34,43,"[[12, 4], [13, 38], [6, 38], [27, 1], [2, 32], [19, 35], [27, 17], [9, 6]]",[]
softmax,42,4,-15.715347078121184,True,0.9,8495050.0,6.14767,0.07929,4140901.540216215,330.39,False,39,43,"[[21, 37], [27, 38], [23, 24], [31, 12], [14, 8], [16, 29], [11, 1], [5, 30]]",[]
softmax,42,3,0.5596741563763411,True,0.9,7655100.0,6.35566,0.07314,3558495.9890192403,358.75,False,37,41,"[[9, 16], [11, 2], [5, 26], [2, 9], [3, 8], [35, 27], [4, 22], [26, 24]]",[]
softmax,42,7,1.9568959534701593,True,0.9,7655030.0,6.17856,0.07418,3508496.070791424,300.07,False,37,41,"[[7, 9], [28, 14], [13, 36], [12, 27], [12, 4], [1, 32], [12, 17], [4, 3]]",[]
softmax,42,5,-23.81484678878359,True,0.9,8844100.0,6.37383,0.0786,4430744.0863758,357.33,False,39,43,"[[10, 18], [4, 7], [10, 5], [34, 7], [33, 29], [6, 38], [18, 38], [30, 19]]",[]
softmax,42,8,11.984066719510938,True,0.9,7087310.0,6.37604,0.0697,3149671.3520522797,296.13,False,36,40,"[[6, 7], [12, 16], [28, 26], [28, 11], [2, 9], [19, 29], [3, 14], [34, 2]]",[]
