circuit,split,seed,baseline_area_mwta,baseline_delay_ns,baseline_power_w,baseline_adp,policy_area_mwta,policy_delay_ns,policy_power_w,policy_adp,adp_reduction_pct,policy_aspect_ratio,policy_grid_w,policy_grid_h,baseline_grid_w,baseline_grid_h,how_obtained,source
or1200,train,123,3455880.0,13.7171,0.02352,1114957.40440896,3197160.0,13.4755,0.02265,975837.4149869999,12.477605769675804,0.4,15,38,27,27,best_during_training,best_layout_coordinates_or1200_multi11_long_seed123.txt; baselines/or1200_traditional_metric.txt; baselines/or1200_traditional_resources.txt (fpga_size+2 IO ring)
mkPktMerge,train,7,1949180.0,4.4784,0.08596,750362.6949235199,1261050.0,3.81451,0.0933,448799.85505215,40.188943548440456,1.0,23,23,28,28,best_during_training,best_layout_coordinates_mkPktMerge_multi11_long_seed7.txt; baselines/mkPktMerge_traditional_metric.txt; baselines/mkPktMerge_traditional_resources.txt (fpga_size+2 IO ring)
mkPktMerge,train,42,1949180.0,4.4784,0.08596,750362.6949235199,1305750.0,3.96996,0.09007,466902.63856889994,37.77640576648222,0.8,21,26,28,28,best_during_training,best_layout_coordinates_mkPktMerge_multi11_long_seed42_v2.txt; baselines/mkPktMerge_traditional_metric.txt; baselines/mkPktMerge_traditional_resources.txt (fpga_size+2 IO ring)
mkPktMerge,train,123,1949180.0,4.4784,0.08596,750362.6949235199,1388110.0,3.98988,0.09181,508479.799523508,32.23546386786534,0.9,23,26,28,28,best_during_training,best_layout_coordinates_mkPktMerge_multi11_long_seed123.txt; baselines/mkPktMerge_traditional_metric.txt; baselines/mkPktMerge_traditional_resources.txt (fpga_size+2 IO ring)
custom_macbuf,heldout,7,488146.0,14.3481,0.006354,44503.210274000405,299970.0,13.7494,0.005637,23249.285178965998,47.75818410442031,0.8,10,13,14,14,final_checkpoint_deterministic,det_seed7_custom_macbuf.json (metrics); runs/det_seed7_custom_macbuf.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_custom_macbuf.db row for that key; baselines/custom_macbuf_traditional_metric.txt; baselines/custom_macbuf_traditional_resources.txt (fpga_size+2 IO ring)
custom_macbuf,heldout,42,488146.0,14.3481,0.006354,44503.210274000405,256464.0,13.5217,0.005193,18008.437392878397,59.53452058401446,0.8,9,11,14,14,final_checkpoint_deterministic,det_seed42_custom_macbuf.json (metrics); runs/det_seed42_custom_macbuf.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_custom_macbuf.db row for that key; baselines/custom_macbuf_traditional_metric.txt; baselines/custom_macbuf_traditional_resources.txt (fpga_size+2 IO ring)
custom_macbuf,heldout,123,488146.0,14.3481,0.006354,44503.210274000405,256780.0,13.6801,0.005183,18206.718412274,59.088977401455686,0.8,9,11,14,14,final_checkpoint_deterministic,det_seed123_custom_macbuf.json (metrics); runs/det_seed123_custom_macbuf.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_custom_macbuf.db row for that key; baselines/custom_macbuf_traditional_metric.txt; baselines/custom_macbuf_traditional_resources.txt (fpga_size+2 IO ring)
mkDelayWorker32B,heldout,7,6865840.0,7.95916,0.1551,8475644.09154144,3189100.0,6.16933,0.1619,3185319.4080557004,62.41796642647371,0.9,34,38,50,50,final_checkpoint_deterministic,det_seed7_mkDelayWorker32B.json (metrics); runs/det_seed7_mkDelayWorker32B.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_mkDelayWorker32B.db row for that key; baselines/mkDelayWorker32B_traditional_metric.txt; baselines/mkDelayWorker32B_traditional_resources.txt (fpga_size+2 IO ring)
mkDelayWorker32B,heldout,42,6865840.0,7.95916,0.1551,8475644.09154144,3771980.0,6.62671,0.153,3824360.0906273997,54.87823639923658,0.9,34,38,50,50,final_checkpoint_deterministic,det_seed42_mkDelayWorker32B.json (metrics); runs/det_seed42_mkDelayWorker32B.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_mkDelayWorker32B.db row for that key; baselines/mkDelayWorker32B_traditional_metric.txt; baselines/mkDelayWorker32B_traditional_resources.txt (fpga_size+2 IO ring)
mkDelayWorker32B,heldout,123,6865840.0,7.95916,0.1551,8475644.09154144,3477470.0,6.04504,0.1658,3485355.6222510403,58.87798514652862,0.9,34,38,50,50,final_checkpoint_deterministic,det_seed123_mkDelayWorker32B.json (metrics); runs/det_seed123_mkDelayWorker32B.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_mkDelayWorker32B.db row for that key; baselines/mkDelayWorker32B_traditional_metric.txt; baselines/mkDelayWorker32B_traditional_resources.txt (fpga_size+2 IO ring)
