circuit,seed,sample_index,aspect_ratio,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,grid_w,grid_h,dsp_coords,bram_coords
custom_macbuf,123,0,0.1,5431590.0,13.681,0.03436,2553277.2646644,-5637.287824730414,True,11.41,False,14,140,"[[7, 6], [1, 6], [12, 2]]","[[9, 2]]"
custom_macbuf,123,17,0.5,1081030.0,14.1172,0.009824,149925.210617984,-236.88628234887824,True,7.48,False,14,28,"[[10, 4], [12, 2], [2, 7]]","[[8, 6]]"
custom_macbuf,123,19,0.1,3393600.0,13.5968,0.02227,1027584.5776896,-2209.0122518418266,True,7.26,False,11,110,"[[7, 5], [9, 6], [6, 4]]","[[5, 4]]"
mkDelayWorker32B,7,0,1.8,12550800.0,8.82973,0.1905,21111243.391602,-149.08128708083305,True,50.82,False,90,50,[],"[[37, 42], [43, 3], [6, 15], [13, 23], [10, 8], [11, 35], [8, 31], [27, 8], [22, 9], [29, 11], [25, 18], [42, 8], [48, 30], [18, 39], [15, 41], [12, 1], [17, 2], [21, 6], [26, 34], [29, 43], [12, 39], [33, 26], [2, 23], [4, 9], [39, 3], [32, 10], [44, 36], [6, 8], [41, 28], [45, 26], [17, 32], [23, 26], [18, 28], [26, 25], [26, 16], [40, 7], [10, 33], [22, 39], [34, 11], [22, 16], [23, 5], [35, 6], [26, 1]]"
mkDelayWorker32B,7,1,1.1,7214370.0,8.57503,0.1589,9830100.48587679,-15.98057185632743,True,47.17,False,55,50,[],"[[4, 28], [5, 37], [19, 36], [14, 43], [7, 25], [27, 40], [2, 4], [11, 10], [19, 20], [45, 25], [5, 30], [47, 41], [11, 23], [44, 26], [3, 24], [35, 34], [40, 12], [47, 27], [47, 34], [38, 18], [6, 34], [15, 38], [30, 21], [19, 2], [36, 23], [36, 38], [23, 10], [8, 27], [4, 1], [26, 24], [12, 36], [32, 30], [28, 27], [22, 41], [33, 4], [29, 18], [35, 17], [14, 35], [33, 37], [12, 20], [23, 33], [5, 15], [24, 13]]"
mkDelayWorker32B,7,14,0.7,10748400.0,7.57306,0.1953,15897083.7137112,-87.5619544899985,True,54.24,False,50,71,[],"[[1, 13], [14, 24], [43, 25], [8, 23], [24, 32], [3, 34], [42, 40], [1, 40], [15, 16], [35, 35], [32, 25], [28, 25], [35, 27], [39, 31], [5, 40], [40, 39], [15, 9], [47, 21], [35, 17], [12, 21], [38, 28], [22, 10], [36, 2], [27, 29], [4, 9], [33, 21], [13, 7], [3, 15], [16, 23], [12, 41], [11, 40], [40, 13], [48, 12], [32, 33], [13, 40], [9, 30], [20, 14], [20, 41], [25, 23], [31, 36], [1, 4], [22, 39], [45, 27]]"
mkDelayWorker32B,7,7,1.2,8232540.0,8.52119,0.1645,11539845.672467703,-36.153023272700764,True,57.05,False,60,50,[],"[[44, 40], [15, 17], [19, 16], [14, 14], [29, 2], [42, 36], [13, 8], [11, 11], [21, 14], [41, 21], [30, 4], [2, 10], [4, 2], [42, 43], [30, 17], [24, 19], [17, 35], [33, 3], [8, 7], [21, 1], [28, 28], [27, 19], [2, 26], [7, 27], [19, 22], [48, 30], [29, 16], [21, 43], [22, 35], [31, 5], [33, 21], [36, 15], [39, 10], [46, 23], [26, 19], [15, 39], [20, 6], [30, 28], [6, 14], [31, 36], [28, 2], [45, 29], [34, 17]]"
mkDelayWorker32B,7,4,1.9,13917900.0,7.85233,0.2117,23136257.6827719,-172.97344523776692,True,60.51,False,93,49,[],"[[3, 35], [45, 29], [44, 5], [30, 26], [30, 14], [39, 20], [26, 4], [17, 31], [35, 18], [19, 19], [17, 21], [27, 42], [40, 10], [24, 27], [10, 27], [11, 2], [31, 41], [37, 39], [19, 39], [5, 21], [35, 4], [4, 18], [9, 41], [1, 26], [33, 35], [22, 31], [35, 29], [41, 17], [10, 3], [22, 25], [21, 25], [25, 42], [8, 22], [3, 18], [36, 34], [35, 35], [28, 18], [41, 1], [31, 18], [4, 28], [9, 1], [13, 15], [11, 39]]"
mkDelayWorker32B,7,5,0.4,16257200.0,7.97679,0.2306,29904270.351472802,-252.82593309123018,True,66.83,False,47,118,[],"[[41, 28], [6, 8], [36, 39], [17, 2], [34, 36], [24, 3], [28, 28], [24, 11], [28, 8], [25, 28], [4, 21], [5, 40], [15, 8], [17, 35], [30, 17], [6, 41], [26, 13], [38, 4], [31, 1], [21, 39], [10, 35], [32, 35], [40, 41], [16, 29], [8, 30], [12, 21], [42, 32], [4, 30], [25, 20], [26, 37], [29, 33], [3, 7], [45, 17], [13, 36], [23, 30], [15, 36], [40, 31], [24, 31], [38, 33], [36, 10], [39, 4], [19, 15], [18, 23]]"
mkDelayWorker32B,7,8,1.9,11234600.0,8.50688,0.1925,18397493.35424,-117.06307102489606,True,74.17,False,91,48,[],"[[10, 19], [12, 41], [44, 29], [26, 28], [35, 21], [44, 39], [25, 29], [14, 8], [25, 40], [17, 37], [25, 10], [2, 10], [33, 30], [9, 16], [13, 1], [47, 35], [6, 40], [15, 2], [15, 25], [38, 29], [19, 31], [8, 39], [8, 14], [21, 35], [30, 31], [47, 7], [45, 34], [21, 22], [24, 40], [16, 13], [26, 20], [43, 34], [5, 26], [19, 5], [20, 29], [43, 7], [24, 1], [11, 21], [46, 41], [15, 19], [37, 24], [20, 7], [8, 33]]"
mkDelayWorker32B,7,11,1.7,11832000.0,8.04752,0.1998,19024607.676672,-124.46208773275724,True,74.25,False,85,50,[],"[[42, 5], [5, 42], [10, 32], [30, 32], [45, 36], [2, 42], [31, 13], [45, 17], [25, 18], [12, 38], [14, 19], [4, 14], [20, 37], [16, 19], [25, 8], [29, 43], [24, 3], [28, 35], [5, 24], [14, 37], [48, 12], [22, 39], [21, 30], [23, 33], [1, 11], [24, 28], [32, 36], [21, 10], [3, 41], [37, 25], [39, 41], [43, 27], [19, 18], [29, 14], [39, 31], [39, 4], [48, 6], [36, 36], [19, 6], [26, 3], [5, 10], [6, 34], [1, 3]]"
mkDelayWorker32B,7,9,1.4,10591100.0,8.36793,0.1795,15908292.224428497,-87.69419825337788,True,83.24,False,70,50,[],"[[6, 10], [11, 32], [46, 3], [26, 14], [16, 21], [4, 32], [46, 26], [44, 2], [22, 7], [32, 9], [33, 36], [20, 20], [12, 27], [31, 40], [27, 35], [2, 1], [6, 30], [25, 39], [42, 42], [19, 24], [33, 15], [10, 27], [2, 21], [36, 6], [28, 24], [48, 9], [5, 36], [27, 43], [15, 32], [38, 25], [39, 7], [1, 33], [4, 17], [32, 37], [21, 35], [34, 14], [39, 29], [19, 12], [14, 37], [12, 18], [44, 35], [33, 3], [42, 3]]"
mkDelayWorker32B,7,17,1.4,10591200.0,10.8536,0.1478,16990001.421696,-100.45675866276353,True,49.2,False,70,50,[],"[[16, 2], [44, 43], [40, 26], [25, 35], [42, 42], [32, 7], [33, 3], [20, 15], [15, 16], [15, 8], [46, 26], [10, 28], [18, 24], [33, 38], [32, 43], [18, 1], [39, 26], [24, 31], [40, 9], [22, 9], [28, 30], [29, 4], [19, 6], [44, 34], [48, 21], [12, 36], [28, 43], [26, 23], [9, 14], [16, 9], [12, 12], [38, 12], [23, 26], [34, 32], [25, 22], [3, 32], [35, 11], [36, 2], [36, 28], [10, 1], [28, 17], [17, 36], [35, 2]]"
mkDelayWorker32B,7,13,0.5,14631500.0,10.2486,0.1844,27651220.88196,-226.24329883737673,True,97.12,False,50,100,[],"[[29, 6], [6, 29], [24, 19], [47, 41], [1, 23], [12, 21], [36, 1], [42, 20], [8, 10], [46, 43], [44, 21], [30, 32], [41, 36], [14, 20], [2, 34], [20, 32], [13, 37], [4, 4], [15, 36], [26, 23], [40, 6], [19, 41], [18, 2], [24, 33], [35, 1], [16, 4], [7, 40], [39, 33], [26, 16], [28, 39], [12, 33], [44, 11], [13, 19], [22, 32], [34, 21], [5, 5], [40, 27], [48, 32], [47, 4], [10, 34], [31, 14], [45, 24], [5, 26]]"
mkDelayWorker32B,7,16,1.7,12377000.0,8.49797,0.1941,20415316.627329003,-140.8703858589717,True,54.09,False,85,50,[],"[[40, 30], [29, 12], [38, 19], [47, 25], [42, 34], [22, 28], [34, 22], [26, 40], [5, 32], [39, 19], [11, 1], [37, 43], [14, 12], [38, 29], [35, 28], [12, 41], [5, 2], [2, 5], [32, 2], [15, 25], [39, 10], [22, 38], [3, 22], [6, 19], [43, 22], [13, 40], [40, 19], [23, 30], [48, 19], [11, 38], [12, 3], [44, 12], [18, 1], [33, 16], [14, 19], [8, 33], [16, 21], [2, 37], [31, 12], [20, 43], [33, 33], [16, 34], [17, 22]]"
mkDelayWorker32B,7,2,0.4,15641200.0,9.5158,0.2091,31122136.823736005,-267.1949469279321,True,102.83,False,49,123,[],"[[19, 32], [30, 36], [4, 31], [33, 24], [42, 35], [11, 22], [28, 11], [6, 31], [10, 1], [41, 2], [37, 41], [35, 11], [8, 30], [16, 31], [17, 16], [21, 35], [36, 2], [41, 16], [4, 43], [9, 43], [44, 43], [27, 7], [26, 20], [35, 43], [36, 33], [41, 34], [3, 19], [2, 40], [43, 33], [3, 33], [13, 28], [5, 16], [42, 10], [12, 18], [47, 1], [6, 41], [37, 25], [19, 26], [1, 21], [47, 41], [30, 10], [38, 18], [13, 18]]"
mkDelayWorker32B,7,18,1.3,8263940.0,7.80488,0.1806,11648530.24091232,-37.43533960489648,True,46.49,False,65,50,[],"[[34, 25], [40, 9], [24, 40], [46, 5], [7, 16], [15, 43], [6, 13], [14, 35], [32, 40], [31, 15], [22, 24], [34, 38], [17, 31], [1, 23], [42, 27], [16, 24], [24, 33], [32, 2], [43, 33], [4, 39], [19, 29], [45, 7], [36, 18], [33, 2], [34, 11], [8, 35], [26, 28], [21, 15], [36, 7], [18, 9], [11, 5], [5, 42], [25, 36], [47, 21], [1, 12], [24, 11], [28, 19], [19, 4], [29, 41], [21, 22], [15, 4], [37, 28], [43, 9]]"
mkDelayWorker32B,7,10,0.3,23604400.0,8.85859,0.2661,55641962.8479156,-556.492441718328,True,117.87,False,49,163,[],"[[41, 27], [35, 19], [45, 20], [35, 32], [7, 42], [14, 36], [9, 23], [45, 38], [41, 41], [6, 23], [9, 29], [23, 28], [30, 12], [13, 6], [40, 13], [37, 14], [40, 23], [40, 32], [20, 41], [8, 15], [1, 42], [14, 30], [38, 2], [37, 37], [21, 29], [47, 19], [11, 42], [13, 33], [37, 22], [33, 16], [4, 43], [12, 16], [15, 37], [46, 25], [39, 26], [23, 5], [10, 28], [38, 24], [24, 17], [18, 38], [19, 41], [31, 11], [22, 22]]"
mkDelayWorker32B,7,3,0.2,35679500.0,13.335,0.2782,132363702.06150001,-1461.6949063917978,True,128.54,False,49,245,[],"[[34, 15], [37, 17], [35, 35], [42, 13], [44, 38], [27, 34], [15, 12], [21, 29], [17, 9], [22, 36], [6, 22], [8, 43], [25, 17], [1, 13], [28, 25], [30, 17], [37, 23], [44, 19], [30, 11], [32, 18], [17, 15], [43, 7], [39, 1], [45, 32], [47, 10], [11, 23], [22, 17], [7, 39], [14, 16], [27, 5], [35, 23], [26, 16], [5, 24], [41, 43], [7, 15], [3, 2], [39, 10], [5, 39], [38, 42], [42, 7], [4, 19], [43, 20], [33, 24]]"
