circuit,aspect_ratio,planned_core_w,planned_core_h,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct_vs_baseline,vtr_success,vtr_seconds,dsp_coords,bram_coords,note
boundtop,0.4,5,12,9,23,510478.0,2.81391,0.01483,21302.3925793734,-4.161453179974004,True,6.43,[],"[[2, 1]]",
boundtop,0.6,6,10,11,18,557520.0,2.49659,0.01665,23175.11596572,-13.318433486254765,True,6.28,[],"[[2, 1]]",
boundtop,0.7,6,9,12,17,513253.0,2.69942,0.0154,21336.475364204,-4.328106403697482,True,6.18,[],"[[2, 1]]",
boundtop,0.8,7,9,13,16,525646.0,2.71538,0.01575,22480.42600881,-9.921635912852453,True,6.03,[],"[[2, 1]]",
boundtop,0.9,7,8,14,16,546584.0,2.55533,0.0171,23883.612625512,-16.782741140060246,True,6.23,[],"[[2, 1]]",
boundtop,1.0,8,8,15,15,574252.0,2.67845,0.01652,25409.499050488,-24.243806690368057,True,7.03,[],"[[2, 1]]",
boundtop,1.1,8,7,15,14,575629.0,2.56272,0.0165,24340.403189520002,-19.016291609505824,True,6.13,[],"[[2, 1]]",
boundtop,1.3,9,7,17,13,561874.0,2.77309,0.01582,24649.5718398412,-20.528021138250352,True,6.12,[],"[[2, 1]]",
boundtop,1.2,8,7,16,13,502999.0,2.59019,0.01606,20923.979455748606,-2.311141731986819,True,6.88,[],"[[2, 1]]",
boundtop,1.4,10,7,17,12,578382.0,2.64377,0.01601,24481.0347720414,-19.703932208741225,True,5.97,[],"[[2, 1]]",
boundtop,1.5,9,6,18,12,571035.0,2.55621,0.01687,24624.8923158945,-20.40734666149851,True,6.18,[],"[[2, 1]]",
boundtop,1.6,10,6,18,11,516977.0,2.81157,0.01477,21468.4464428553,-4.973400085091662,True,6.53,[],"[[2, 1]]",
boundtop,1.8,11,6,19,11,548348.0,2.57132,0.01628,22954.444759980797,-12.23942635693218,True,6.12,[],"[[2, 1]]",
boundtop,1.9,11,6,19,10,469963.0,2.53326,0.01556,18524.778583552797,9.420134385821319,True,5.92,[],"[[2, 1]]",
boundtop,1.7,10,6,18,11,516977.0,2.81157,0.01477,21468.4464428553,-4.973400085091662,True,6.58,[],"[[2, 1]]",
mmc_core,0.1,4,35,5,50,746930.0,4.64981,0.01094,37995.52346130201,-32.15610632537025,True,4.27,[],"[[2, 1]]",
mmc_core,0.2,5,27,7,35,722666.0,4.70576,0.0111,37747.689593376,-31.294090066165005,True,4.22,[],"[[2, 1]]",
boundtop,2.0,12,6,19,10,469963.0,2.53326,0.01556,18524.778583552797,9.420134385821319,True,7.63,[],"[[2, 1]]",
mmc_core,0.5,8,17,10,20,537635.0,4.56306,0.01057,25930.966265967,9.806860840987822,True,3.67,[],"[[2, 1]]",
mmc_core,0.4,8,19,9,23,552190.0,4.62883,0.01041,26607.893768457,7.452370236726242,True,4.17,[],"[[2, 1]]",
mmc_core,0.3,7,22,8,27,593190.0,4.54849,0.01079,29112.701669649,-1.2598576564281427,True,4.67,[],"[[2, 1]]",
mmc_core,0.6,9,15,11,18,494698.0,4.95171,0.009801,24008.539730117584,16.493448694769757,True,4.12,[],"[[2, 1]]",
mmc_core,0.7,10,14,12,17,555466.0,4.62903,0.01066,27409.7251732668,4.663438627533097,True,4.52,[],"[[2, 1]]",
mmc_core,0.9,12,13,14,16,596963.0,4.59722,0.01128,30956.496339460802,-7.672947995188005,True,4.67,[],"[[2, 1]]",
mmc_core,0.8,11,14,13,16,549387.0,4.79285,0.01037,27305.552738191498,5.0257714012875105,True,4.97,[],"[[2, 1]]",
mmc_core,1.0,12,12,14,14,514775.0,4.70523,0.01039,25165.9802940675,12.467636591129379,True,4.32,[],"[[2, 1]]",
mmc_core,1.1,13,12,15,14,531832.0,4.53596,0.01083,26125.9527905376,9.128658318013978,True,4.52,[],"[[2, 1]]",
mmc_core,1.2,13,11,16,13,549387.0,4.81808,0.01039,27502.2314712144,4.341683035462348,True,4.22,[],"[[2, 1]]",
mmc_core,1.3,14,11,16,12,501811.0,4.67896,0.01027,24113.4834366712,16.128433283004124,True,4.17,[],"[[2, 1]]",
mmc_core,1.4,14,10,17,12,536423.0,4.6915,0.01049,26399.433012204998,8.177438859506648,True,4.57,[],"[[2, 1]]",
mmc_core,1.5,15,10,17,11,485606.0,4.77459,0.009891,22932.97143428214,20.234492510349696,True,4.22,[],"[[2, 1]]",
mmc_core,1.6,16,10,17,11,485606.0,4.77459,0.009891,22932.97143428214,20.234492510349696,True,4.47,[],"[[2, 1]]",
