circuit,seed,variant,draw_index,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,source
aes_inv_cipher,42,policy,0,30,30,4335110.0,6.85405,0.08379,2489657.355675945,13.1566207843461,True,42.36,False,step 0 forced to 1.0; policy places H-blocks deterministically
aes_inv_cipher,42,random,0,32,32,4851360.0,7.26923,0.08363,2949266.447723664,-2.875306894643978,True,42.96,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 3, 0]), circuit_index = position in the new-six list"
aes_inv_cipher,42,random,1,33,33,5174840.0,7.01561,0.08912,3235471.232573888,-12.858604639379005,True,42.98,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 3, 1]), circuit_index = position in the new-six list"
aes_inv_cipher,42,random,2,30,30,4235600.0,6.83204,0.083,2401836.455792,16.219959478039858,True,41.98,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 3, 2]), circuit_index = position in the new-six list"
aes_inv_cipher,123,policy,0,30,30,4235050.0,7.06612,0.08131,2433231.95715286,15.124832301550759,True,42.72,False,step 0 forced to 1.0; policy places H-blocks deterministically
aes_inv_cipher,123,random,0,32,32,4964710.0,7.17114,0.08543,3041532.7210008423,-6.093707587718345,True,42.22,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 3, 0]), circuit_index = position in the new-six list"
aes_inv_cipher,123,random,1,33,33,5418570.0,7.01863,0.09016,3428869.366392456,-19.604652418409923,True,44.26,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 3, 1]), circuit_index = position in the new-six list"
8051,7,policy,0,19,19,1755930.0,13.6475,0.01333,319440.84881775,-24.261607315981205,True,13.71,False,step 0 forced to 1.0; policy places H-blocks deterministically
8051,7,random,0,17,17,1379170.0,13.2032,0.01181,215053.69123264,16.344708478254894,True,12.66,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 4, 0]), circuit_index = position in the new-six list"
aes_inv_cipher,123,random,2,32,32,5080020.0,7.16688,0.08638,3144913.8610538878,-9.699813274874531,True,43.56,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 3, 2]), circuit_index = position in the new-six list"
8051,7,random,1,19,19,1727800.0,13.7372,0.01315,312117.014204,-21.412655892926935,True,13.47,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 4, 1]), circuit_index = position in the new-six list"
8051,42,policy,0,17,17,1379250.0,13.5651,0.01169,218715.97420575,14.92009052357297,True,12.9,False,step 0 forced to 1.0; policy places H-blocks deterministically
8051,7,random,2,19,19,1687240.0,13.7465,0.01307,303140.9357062,-17.920986165466996,True,13.97,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 4, 2]), circuit_index = position in the new-six list"
8051,42,random,1,17,17,1379190.0,12.9903,0.01184,212126.52758688,17.483367046328528,True,12.95,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 4, 1]), circuit_index = position in the new-six list"
8051,42,random,0,18,18,1562160.0,13.7624,0.01246,267878.42196864,-4.203965780478593,True,13.65,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 4, 0]), circuit_index = position in the new-six list"
8051,42,random,2,17,17,1379220.0,13.6922,0.01162,219438.54169607998,14.639013766874573,True,12.76,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 4, 2]), circuit_index = position in the new-six list"
8051,123,policy,0,19,19,1755930.0,13.2745,0.01344,313274.2070304,-21.862800704134298,True,13.42,False,step 0 forced to 1.0; policy places H-blocks deterministically
8051,123,random,0,17,17,1403960.0,13.7406,0.01175,226672.220118,11.825132853267492,True,12.67,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 4, 0]), circuit_index = position in the new-six list"
8051,123,random,1,19,19,1865750.0,13.6852,0.01354,345719.01212599996,-34.48374021501431,True,12.77,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 4, 1]), circuit_index = position in the new-six list"
8051,123,random,2,17,17,1404660.0,13.4848,0.0118,223510.3981824,13.055072847537724,True,12.92,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 4, 2]), circuit_index = position in the new-six list"
stereovision1,7,policy,0,33,33,8914260.0,5.85059,0.1063,5543936.227944421,-30.56306553082189,True,61.98,False,step 0 forced to 1.0; policy places H-blocks deterministically
stereovision1,7,random,0,40,40,10655100.0,6.30367,0.1143,7677100.571003101,-80.80038148458961,True,76.26,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 5, 0]), circuit_index = position in the new-six list"
stereovision1,7,random,1,40,40,10141200.0,6.18806,0.1132,7103792.880950401,-67.29863715925333,True,98.69,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 5, 1]), circuit_index = position in the new-six list"
stereovision1,7,random,2,40,40,10654800.0,6.16482,0.117,7685136.123912,-80.98962363635405,True,74.26,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 5, 2]), circuit_index = position in the new-six list"
stereovision1,42,random,0,40,40,10842900.0,6.25186,0.1143,7748201.8663542,-82.47486017672527,True,65.03,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 5, 0]), circuit_index = position in the new-six list"
stereovision1,42,policy,0,33,33,9821590.0,5.84063,0.1122,6436271.45323074,-51.57810208684599,True,73.72,False,step 0 forced to 1.0; policy places H-blocks deterministically
stereovision1,42,random,1,40,40,10655100.0,6.4724,0.1118,7710182.941032001,-81.57949139285775,True,63.9,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 5, 1]), circuit_index = position in the new-six list"
stereovision1,42,random,2,40,40,10345200.0,6.17367,0.1107,7070171.092858801,-66.50682362796843,True,58.87,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 5, 2]), circuit_index = position in the new-six list"
stereovision1,123,random,0,40,40,10492900.0,6.30286,0.1138,7526194.8291772,-77.24645960509899,True,63.9,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 5, 0]), circuit_index = position in the new-six list"
stereovision1,123,policy,0,33,33,9671490.0,5.82292,0.1117,6290532.11192436,-48.145852077639276,True,68.81,False,step 0 forced to 1.0; policy places H-blocks deterministically
stereovision1,123,random,2,40,40,10141200.0,6.28521,0.1133,7221693.4681716,-70.07526760061602,True,89.45,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 5, 2]), circuit_index = position in the new-six list"
stereovision1,123,random,1,40,40,10141200.0,7.23583,0.1031,7565477.917107599,-78.17160018623649,True,100.85,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 5, 1]), circuit_index = position in the new-six list"
