seed,update_index,timesteps,policy_entropy,explained_variance,value_loss,mean_episode_reward,source
7,796,62208,3.227175,0.93857,0.005498,0.2,runs/train_multi11_seed7.log:58233 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,811,63360,3.0931,0.959718,0.003979,0.193,runs/train_multi11_seed7.log:59227 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,826,64512,3.142433,0.901091,0.008548,0.198,runs/train_multi11_seed7.log:60306 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,841,65664,3.259559,0.93663,0.00617,0.257,runs/train_multi11_seed7.log:60979 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,856,66816,3.204233,0.914279,0.008556,0.206,runs/train_multi11_seed7.log:61965 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,871,67968,3.232848,0.916191,0.008824,0.277,runs/train_multi11_seed7.log:63376 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,886,69120,3.177761,0.876535,0.011221,0.241,runs/train_multi11_seed7.log:64370 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,901,70272,3.186573,0.925273,0.007213,0.247,runs/train_multi11_seed7.log:66497 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,1,1152,4.926015,0.034694,0.578262,-0.791,runs/train_multi11_seed42_v2.log:1001 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,16,2304,4.985352,0.397936,0.255923,-0.468,runs/train_multi11_seed42_v2.log:1654 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,31,3456,4.95226,0.643043,0.26792,-0.549,runs/train_multi11_seed42_v2.log:2246 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,46,4608,4.886019,0.673249,0.118336,-0.294,runs/train_multi11_seed42_v2.log:4878 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,61,5760,4.709134,0.490438,0.098056,-0.212,runs/train_multi11_seed42_v2.log:5436 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,76,6912,4.711663,0.630384,0.064326,-0.186,runs/train_multi11_seed42_v2.log:5798 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,91,8064,4.72948,0.490831,0.076561,-0.147,runs/train_multi11_seed42_v2.log:6607 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,106,9216,4.683119,0.242428,0.061807,-0.0984,runs/train_multi11_seed42_v2.log:8934 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,121,10368,4.606165,0.699582,0.056639,-0.144,runs/train_multi11_seed42_v2.log:9427 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,136,11520,4.485015,0.292399,0.041285,-0.0452,runs/train_multi11_seed42_v2.log:9766 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,151,12672,4.538757,0.318312,0.04199,-0.0559,runs/train_multi11_seed42_v2.log:10870 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,166,13824,4.501108,0.47172,0.06383,-0.0449,runs/train_multi11_seed42_v2.log:13242 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,181,14976,4.312899,0.425247,0.051023,0.0325,runs/train_multi11_seed42_v2.log:13604 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,196,16128,4.475702,0.604358,0.037899,0.00248,runs/train_multi11_seed42_v2.log:14136 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,211,17280,4.431832,0.285431,0.053002,0.032,runs/train_multi11_seed42_v2.log:15930 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,226,18432,4.221464,0.481404,0.051886,0.0168,runs/train_multi11_seed42_v2.log:17376 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,241,19584,4.257149,0.385803,0.080842,0.0289,runs/train_multi11_seed42_v2.log:17715 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,256,20736,4.292923,0.537318,0.037992,0.0373,runs/train_multi11_seed42_v2.log:18162 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,271,21888,4.186923,0.503815,0.041749,0.0785,runs/train_multi11_seed42_v2.log:20524 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,286,23040,4.160139,0.666736,0.023577,0.0446,runs/train_multi11_seed42_v2.log:21420 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,301,24192,3.916852,0.568416,0.039802,0.0519,runs/train_multi11_seed42_v2.log:21822 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,316,25344,4.055486,0.642114,0.026868,0.121,runs/train_multi11_seed42_v2.log:23474 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,331,26496,4.137946,0.550342,0.034247,0.134,runs/train_multi11_seed42_v2.log:24727 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,346,27648,3.99681,0.664333,0.027429,0.158,runs/train_multi11_seed42_v2.log:25519 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,361,28800,3.957976,0.777496,0.019838,0.122,runs/train_multi11_seed42_v2.log:25797 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,376,29952,3.971574,0.640422,0.051441,0.0966,runs/train_multi11_seed42_v2.log:27783 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,391,31104,3.802599,0.735321,0.022529,0.196,runs/train_multi11_seed42_v2.log:28874 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,406,32256,3.617469,0.830363,0.015576,0.194,runs/train_multi11_seed42_v2.log:29432 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,421,33408,3.669443,0.775229,0.023021,0.147,runs/train_multi11_seed42_v2.log:30289 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,436,34560,3.638174,0.788587,0.019439,0.203,runs/train_multi11_seed42_v2.log:32068 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,451,35712,3.790136,0.823993,0.014496,0.223,runs/train_multi11_seed42_v2.log:32695 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,466,36864,3.747371,0.738816,0.040136,0.199,runs/train_multi11_seed42_v2.log:33512 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,481,38016,3.561449,0.740293,0.029304,0.179,runs/train_multi11_seed42_v2.log:34510 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,496,39168,3.801229,0.651778,0.03582,0.123,runs/train_multi11_seed42_v2.log:36044 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,511,40320,3.887003,0.726483,0.023445,0.173,runs/train_multi11_seed42_v2.log:36887 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,526,41472,3.485184,0.8574,0.013323,0.219,runs/train_multi11_seed42_v2.log:37433 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,541,42624,3.720106,0.860708,0.015423,0.186,runs/train_multi11_seed42_v2.log:38631 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,556,43776,3.7091,0.77951,0.017807,0.172,runs/train_multi11_seed42_v2.log:40047 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,571,44928,3.755691,0.896986,0.023795,0.2,runs/train_multi11_seed42_v2.log:40815 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,586,46080,3.377821,0.854429,0.01434,0.222,runs/train_multi11_seed42_v2.log:41925 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,601,47232,3.513551,0.865777,0.01518,0.268,runs/train_multi11_seed42_v2.log:43219 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,616,48384,3.74529,0.849189,0.012374,0.232,runs/train_multi11_seed42_v2.log:43883 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,631,49536,3.469115,0.887928,0.010789,0.265,runs/train_multi11_seed42_v2.log:44741 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,646,50688,3.472908,0.808843,0.022137,0.216,runs/train_multi11_seed42_v2.log:45947 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,661,51840,3.376286,0.750133,0.022221,0.221,runs/train_multi11_seed42_v2.log:47026 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,676,52992,3.312952,0.72298,0.025925,0.238,runs/train_multi11_seed42_v2.log:48060 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,691,54144,3.292614,0.852035,0.01245,0.214,runs/train_multi11_seed42_v2.log:48840 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,706,55296,3.227213,0.843823,0.017814,0.209,runs/train_multi11_seed42_v2.log:49951 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,721,56448,3.236405,0.889944,0.012914,0.268,runs/train_multi11_seed42_v2.log:50835 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,736,57600,3.303796,0.855473,0.014683,0.26,runs/train_multi11_seed42_v2.log:52146 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,751,58752,3.586913,0.885798,0.010263,0.192,runs/train_multi11_seed42_v2.log:52811 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,766,59904,3.156834,0.905279,0.011151,0.274,runs/train_multi11_seed42_v2.log:54228 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,781,61056,3.069756,0.885608,0.011671,0.274,runs/train_multi11_seed42_v2.log:54871 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,796,62208,3.07706,0.847459,0.015745,0.278,runs/train_multi11_seed42_v2.log:55970 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,811,63360,3.434397,0.879907,0.01045,0.255,runs/train_multi11_seed42_v2.log:57003 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,826,64512,3.104494,0.913587,0.009176,0.274,runs/train_multi11_seed42_v2.log:57961 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,841,65664,3.228677,0.813341,0.019104,0.195,runs/train_multi11_seed42_v2.log:58934 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,856,66816,3.058611,0.912736,0.007721,0.294,runs/train_multi11_seed42_v2.log:60319 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,871,67968,3.026931,0.882429,0.013017,0.31,runs/train_multi11_seed42_v2.log:61308 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,886,69120,3.069324,0.925137,0.007634,0.26,runs/train_multi11_seed42_v2.log:63484 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,1,1152,4.896491,0.012761,2.931271,-0.773,runs/train_multi11_seed123.log:1287 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,16,2304,4.987776,0.337883,0.313667,-0.668,runs/train_multi11_seed123.log:1924 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,31,3456,4.803136,0.575855,0.192614,-0.503,runs/train_multi11_seed123.log:4938 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,46,4608,4.817956,0.41389,0.249101,-0.545,runs/train_multi11_seed123.log:5732 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,61,5760,4.739867,0.617377,0.163086,-0.404,runs/train_multi11_seed123.log:6178 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,76,6912,4.770497,0.502406,0.071707,-0.329,runs/train_multi11_seed123.log:7399 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,91,8064,4.601066,0.558092,0.106781,-0.27,runs/train_multi11_seed123.log:9652 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,106,9216,4.591764,0.545275,0.122639,-0.307,runs/train_multi11_seed123.log:10100 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,121,10368,4.466785,0.390039,0.0835,-0.24,runs/train_multi11_seed123.log:10527 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,136,11520,4.460073,0.538406,0.061978,-0.129,runs/train_multi11_seed123.log:12868 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,151,12672,4.468474,0.393551,0.062308,-0.101,runs/train_multi11_seed123.log:14037 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,166,13824,4.453462,0.268165,0.046483,-0.113,runs/train_multi11_seed123.log:14437 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,181,14976,4.440648,0.561903,0.051191,-0.0869,runs/train_multi11_seed123.log:15353 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
