circuit,seed,step_index,step_kind,chosen_action,chosen_action_prob,top1_prob,entropy_over_legal_actions,n_legal_actions
lightweight_cipher,7,2,hblock,50,0.19686277210712433,0.19686277210712433,2.6238102965837036,77
lightweight_cipher,7,3,hblock,195,0.27684926986694336,0.27684926986694336,2.3872380859529683,70
reduction_layer,7,0,aspect_ratio,8,0.9168587923049927,0.9168587923049927,0.41994748287177,20
reduction_layer,7,1,hblock,875,0.07640494406223297,0.07640494406223297,6.371624188676035,1554
reduction_layer,7,2,hblock,782,0.03712165728211403,0.03712165728211403,6.60190983517786,1543
reduction_layer,7,3,hblock,8,0.02408786118030548,0.02408786118030548,6.684174396269709,1532
reduction_layer,7,4,hblock,637,0.02229168638586998,0.02229168638586998,6.728116290616832,1521
reduction_layer,7,5,hblock,303,0.020820222795009613,0.020820222795009613,6.764508522004232,1510
reduction_layer,7,6,hblock,589,0.02013271301984787,0.02013271301984787,6.811910348720424,1499
reduction_layer,7,7,hblock,682,0.018273284658789635,0.018273284658789635,6.868157383616028,1488
reduction_layer,7,8,hblock,445,0.009924624115228653,0.009924624115228653,6.905065796274377,1477
reduction_layer,7,9,hblock,496,0.00997927412390709,0.00997927412390709,6.923367263950458,1466
